A	filename	PSG filename
EC	clock_h5_NREM_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
ED	clock_h5_R_fft_win_count	Real Clock Hour 5 - The number of FFT windows in REM during the first real clock hour.
EE	clock_h5_R_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows in REM during the first real clock hour.
EF	clock_h5_Unscored_fft_win_count	Real Clock Hour 5 - The number of FFT windows unscored during the first real clock hour.
EG	clock_h5_Unscored_fft_win_valid_count	Real Clock Hour 5 - The number of valid FFT windows unscored during the first real clock hour.
EH	clock_h5_fft_win_count	Real Clock Hour 5 - The total number of FFT windows during the first real clock hour.
EI	clock_h5_fft_win_valid_count	Real Clock Hour 5 - The total number of valid FFT windows during the first real clock hour.
EJ	clock_h6_W_fft_win_count	Real Clock Hour 6 - The number of FFT windows in Wake during the first real clock hour.
EK	clock_h6_W_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in Wake during the first real clock hour.
EL	clock_h6_N1_fft_win_count	Real Clock Hour 6 - The number of FFT windows in N1 during the first real clock hour.
EM	clock_h6_N1_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in N1 during the first real clock hour.
EN	clock_h6_N2_fft_win_count	Real Clock Hour 6 - The number of FFT windows in N2 during the first real clock hour.
EO	clock_h6_N2_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in N2 during the first real clock hour.
EP	clock_h6_N3_fft_win_count	Real Clock Hour 6 - The number of FFT windows in N3 during the first real clock hour.
EQ	clock_h6_N3_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in N3 during the first real clock hour.
ER	clock_h6_N2N3_fft_win_count	Real Clock Hour 6 - The number of FFT windows in N2 and N3 during the first real clock hour.
ES	clock_h6_N2N3_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in N2 and N3 during the first real clock hour.
ET	clock_h6_NREM_fft_win_count	Real Clock Hour 6 - The number of FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
EU	clock_h6_NREM_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in NREM (N1, N2 and N3) during the first real clock hour.
EV	clock_h6_R_fft_win_count	Real Clock Hour 6 - The number of FFT windows in REM during the first real clock hour.
EW	clock_h6_R_fft_win_valid_count	Real Clock Hour 6 - The number of valid FFT windows in REM during the first real clock hour.
